Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Public Administration,44200.0,73100.0
Liberal Arts,42500.0,73000.0
Merchandising,50500.0,73000.0
Environmental Resource Management,45700.0,72900.0
Computer Aided Drafting & Design (CADD),46800.0,72800.0
Forestry Management,44300.0,72800.0
German Language & Literature,46100.0,72700.0
Electronics & Computer Technology,51700.0,72700.0
Administrative Management,50100.0,72600.0
Cardiopulmonary Science,45800.0,72600.0
3D Animation,49400.0,72500.0
Ethnic Studies,44900.0,72300.0
Adult Education & Training,46200.0,72200.0
Health Administration,40700.0,72200.0
Agricultural Communication,42600.0,72100.0
Organizational Management,46900.0,72100.0
Multimedia,42800.0,72000.0
Communication Design,48700.0,71900.0
Radiologic Science,54900.0,71800.0
Exercise Physiology,41600.0,71700.0
Criminal Justice Administration,43700.0,71600.0
Natural Resource Management,43800.0,71500.0
Diagnostic Medical Imaging,57900.0,71400.0
Earth Science,48200.0,71400.0
Hotel & Restaurant Management,44600.0,71400.0
Radiology,51600.0,71300.0
Art History,44400.0,71200.0
Hospital Management,48500.0,71200.0
Retail Management,45700.0,71200.0
English & Psychology,41100.0,71100.0
Human Resources (HR),44800.0,71100.0
Management & Organization,53900.0,71100.0
Painting & Printmaking,32800.0,71100.0
Visual Effects & Motion Graphics,47400.0,71100.0
Medical Laboratory Technology,54100.0,71000.0
Fashion Merchandising,44100.0,71000.0
Multimedia & Web Design,47500.0,70900.0
Advertising & Graphic Design,44600.0,70800.0
Anthropology,43500.0,70800.0
Broadcast Communication,37900.0,70800.0
Communication Management,42500.0,70800.0
Health Care Administration,43600.0,70800.0
Natural Resources,44900.0,70700.0
Psychology,42000.0,70700.0
Visual Communications,43000.0,70700.0
Applied Behavior Analysis,36900.0,70600.0
Travel Industry Management,51800.0,70600.0
Humanities,43800.0,70500.0
Sociology & Anthropology,41900.0,70500.0
Communication Arts,40400.0,70500.0
Creative Writing,42800.0,70400.0
Anthropology & English,44900.0,70300.0
Modern Languages,48600.0,70300.0
Health Care Management,44000.0,70200.0
Health Teacher Education,35500.0,70200.0
Radiologic Technology,52100.0,70200.0
Health & Fitness,38000.0,70100.0
Animal Science & Management,42100.0,70000.0
Criminology,42400.0,70000.0
Hospitality Management,43600.0,70000.0
Art Administration,36800.0,70000.0
Human Relations,41100.0,70000.0
Health Information Management,46200.0,69900.0
Medical Laboratory Science,53000.0,69900.0
Liberal Studies,42300.0,69800.0
Secondary & Middle School Mathematics Teacher Education,43100.0,69800.0
Fashion Design & Marketing,42200.0,69700.0
Art & Design,42400.0,69600.0
Physical Anthropology,49300.0,69600.0
Sports Management,42900.0,69600.0
Life Sciences,51900.0,69400.0
Respiratory Care,52300.0,69200.0
Audio Engineering,45900.0,69100.0
Social & Criminal Justice,42300.0,69100.0
Child Psychology,37100.0,68900.0
Interior Design,42400.0,68900.0
Small Business Management,43900.0,68900.0
Turfgrass Management,47700.0,68900.0
Medical Technology,53300.0,68800.0
Religious Studies,41000.0,68800.0
Hotel & Restaurant Tourism,42500.0,68700.0
Sociology,43700.0,68600.0
Arts & Science,43900.0,68500.0
Secondary Education,42700.0,68500.0
Speech Pathology & Audiology,41500.0,68500.0
Theater,42400.0,68400.0
Archaeology,43900.0,68300.0
Illustration,42900.0,68300.0
Radiography,52700.0,68300.0
Media Arts,44000.0,68200.0
Clinical Laboratory Science,52400.0,68100.0
Graphics Technology & Management,38800.0,68100.0
Psychology & Social Behavior,44100.0,68100.0
Health Management,42000.0,68000.0
Media Communication,44300.0,68000.0
Mass Media,38100.0,67900.0
Nutrition,45100.0,67900.0
Performing Arts,42900.0,67800.0
SocialStudies,43700.0,67700.0
Italian Language,47800.0,67600.0
Social Studies,44100.0,67500.0
Commercial Photography,42000.0,67300.0
Radio & Television,40800.0,67200.0
Respiratory Therapy,52300.0,67200.0
Art Therapy,39200.0,67100.0
Biological Anthropology,41900.0,67100.0
Drafting & Design,48900.0,66800.0
Geomatics,49000.0,66800.0
Clinical Nutrition,47600.0,66700.0
Horticulture & Agronomy,46400.0,66700.0
Graphic Communication,44700.0,66600.0
Plant Sciences,45800.0,66600.0
Kinesiology,42100.0,66600.0
Fire Science,47200.0,66600.0
Fashion Marketing & Management,45200.0,66500.0
Music,41800.0,66500.0
Nutrition & Dietetics,48500.0,66500.0
Health,41900.0,66400.0
Legal Studies,44400.0,66400.0
Criminal Justice,40600.0,66300.0
Wildlife & Fisheries Science,38300.0,66300.0
Forensic Psychology,40800.0,66200.0
Graphic Design,42600.0,65800.0
Dramatic Art,38900.0,65700.0
Hospitality & Tourism,41500.0,65600.0
Religion,41100.0,65600.0
Pre-Veterinary Medicine,37600.0,65600.0
Sports Medicine,45700.0,65400.0
Women's Studies,42700.0,65400.0
Fine Arts,40400.0,65300.0
Public Health (PH),43400.0,65300.0
Modern Language Spanish,41100.0,65200.0
Museum Studies,37600.0,65200.0
Business Leadership,47700.0,65100.0
Dietetics,48700.0,65100.0
Forensic Accounting,44200.0,65100.0
Landscape Management,49300.0,65100.0
Speech-Language Pathology,41700.0,65100.0
Animal Science,39000.0,64900.0
Family & Consumer Science,40500.0,64900.0
Drawing & Painting,40600.0,64500.0
Music Industry,44400.0,64500.0
Technical Theatre,39100.0,64500.0
Foods & Nutrition,45000.0,64400.0
Physical Therapist Assistant Studies,49100.0,64400.0
Recreation Management,40300.0,64400.0
Interdisciplinary Studies (IS),42200.0,64200.0
Education,41800.0,64100.0
Applied Linguistics,44100.0,64000.0
Applied Sociology,40100.0,63800.0
Business & Healthcare Management,44700.0,63800.0
Music Composition,42300.0,63700.0
Physical Education & Exercise Science,41000.0,63700.0
Behavioral Science,40400.0,63500.0
Psychology & Sociology,40600.0,63400.0
General Studies,41200.0,63300.0
Culinary Arts & Culinary Management,36100.0,63200.0
Theatre Arts,40900.0,63200.0
Technology Teacher Education,46400.0,63100.0
Art,40600.0,63000.0
Textiles & Clothing,42900.0,63000.0
Video Production,42800.0,62800.0
Training and Development,50200.0,62500.0
Theology,39300.0,62300.0
Restaurant & Food Service Management,41500.0,62300.0
Missions,41400.0,62200.0
Event Management,39500.0,62100.0
Clinical Psychology,40900.0,62000.0
Developmental Psychology,31000.0,62000.0
Physical Education Teaching,39600.0,62000.0
Theatre,39700.0,62000.0
Sports Administration,41200.0,61900.0
Drawing,36400.0,61800.0
Health & Exercise Science,40100.0,61800.0
Agricultural Teacher Education,51000.0,61700.0
Graphic Arts,41100.0,61600.0
New Media,44700.0,61600.0
Health Services Administration,40800.0,61500.0
Interior Design & Merchandising,40800.0,61400.0
Exercise Science,38900.0,61300.0
Electronic Media,43700.0,61200.0
Exercise & Sports Science,40400.0,61200.0
Psychiatry,54700.0,61200.0
Supervision & Management,39400.0,61200.0
African American & African Studies,43600.0,61100.0
Culture Studies,44800.0,61000.0
Printmaking,36800.0,61000.0
Secondary English Teacher Education,40000.0,61000.0
Community Health Education,40200.0,60900.0
Culinary Arts,36700.0,60900.0
Wildlife Management,37800.0,60800.0
Psychology & Philosophy,45400.0,60800.0
Mortuary Science,40600.0,60700.0
Paralegal Studies,37700.0,60600.0
Health Studies,40600.0,60500.0
Social Psychology,44400.0,60500.0
Health Services Management,39300.0,60400.0
Emergency Medical Services (EMS),41600.0,60300.0
Recording Arts,40500.0,60300.0
English Teacher Education,41300.0,60200.0
Social Science Teacher Education,42100.0,60200.0
Social Studies Teacher Education,42400.0,60200.0
Music Teacher Education,39100.0,60000.0
Photography,41500.0,60000.0
Teaching English as a Second Language (ESL),41600.0,59900.0
Health & Physical Education Teaching,37000.0,59900.0
Human Development,40700.0,59700.0
Painting,38700.0,59700.0
